Course,Course GPA,Professor,Professor Average GPA
Introduction to Programming (302),2.87,ANEESH PADMAKAR KARVE,3.06
Linear Programming Methods (525),2.94,ROBERT R MEYER,3.17
Linear Programming Methods (525),2.94,ALBERTO DEL PIA,2.82
Linear Programming Methods (525),2.94,CARLA MICHINI,3.18
Linear Programming Methods (525),2.94,ZACHARY ZHOU,3.10
Linear Programming Methods (525),2.94,BAINIAN HAO,3.20
Linear Programming Methods (525),2.94,HUILIN HU,2.94
Linear Programming Methods (525),2.94,STEPHEN WRIGHT,2.82
Linear Programming Methods (525),2.94,JUN YIN,3.07
Linear Programming Methods (525),2.94,MICHAEL FERRIS,2.70
Linear Programming Methods (525),2.94,SHI JIN,3.06
Linear Programming Methods (525),2.94,JESSE THOMAS HOLZER,3.56
Linear Programming Methods (525),2.94,BENJAMIN RECHT,3.11
Principles of Programming Languages (704),3.89,ETHAN CECCHETTI,4.00
Principles of Programming Languages (704),3.89,AWS ALBARGHOUTHI,3.95
Principles of Programming Languages (704),3.89,SUSAN HORWITZ,3.94
Principles of Programming Languages (704),3.89,THOMAS REPS,3.74
Programming I (200),3.24,ANDREW KUEMMEL,3.59
Programming I (200),3.24,JAMES WILLIAMS,3.28
Programming I (200),3.24,MARC RENAULT,3.09
Programming I (200),3.24,RUIHAN TONG,3.52
Programming I (200),3.24,MARK POWERS,3.52
Programming I (200),3.24,YANAN WANG,3.52
Programming I (200),3.24,RUI HUANG,3.52
Programming I (200),3.24,TIMOTHY WILDER,3.71
Programming I (200),3.24,ELLIOTT JANSSEN SALDIVAR,3.71
Programming I (200),3.24,AMOS KENDALL,3.71
Programming II (300),3.32,RITHIK JAIN,3.41
Programming II (300),3.32,ABINAYAA KANIMOZHI CHANDRASEKAR,3.42
Programming II (300),3.32,LAURA LEGAULT,3.47
Programming II (300),3.32,ALEXANDER BROOKS,2.83
Programming II (300),3.32,GIANNIS IAKOVIDIS,3.06
Programming II (300),3.32,WILLIAM CONG,3.43
Programming II (300),3.32,BOWMAN BROWN,3.44
Programming II (300),3.32,RAHUL CHOUDHARY,3.26
Programming II (300),3.32,PROTEET PAUL,3.31
Programming II (300),3.32,JING LAN,3.31
Programming II (300),3.32,MICHELLE JENSEN,3.38
Programming II (300),3.32,YIHENG SU,3.28
Programming II (300),3.32,YUHAO LIU,3.28
Programming II (300),3.32,WILLIAM SUN,3.15
Programming II (300),3.32,YIKAI ZHANG,3.17
Programming II (300),3.32,XINYU ZHOU,3.17
Programming II (300),3.32,SHUIBAI ZHANG,3.17
Programming II (300),3.32,ADITYA KOLSUR,3.40
Programming II (300),3.32,BLERINA GKOTSE,3.29
Programming II (300),3.32,RIYAD HASSEN,3.40
Programming II (300),3.32,VAISHNAVI BHARGAVA,3.24
Programming II (300),3.32,ZHIQI GAO,3.25
Programming II (300),3.32,ANGUS HE,3.40
Programming II (300),3.32,MOUNA AYARI BEN HADJ KACEM,3.25
Programming II (300),3.32,ROBERT KLOCK,3.46
Programming II (300),3.32,DANYAL MAQBOOL,3.51
Programming II (300),3.32,YUYUAN KANG,3.06
Programming II (300),3.32,ASHLEY SAMUELSON,3.45
Programming II (300),3.32,POOJA YADAV,2.98
Programming II (300),3.32,AYDAN BAILEY,2.98
Programming II (300),3.32,KENDALL PARK,3.47
Programming II (300),3.32,ZHIWEI SONG,3.45
Programming II (300),3.32,YIWEI ZHANG,3.47
Programming II (300),3.32,PUCHENG XIONG,3.71
Programming II (300),3.32,SHENGYUAN YANG,3.71
Programming II (300),3.32,GOWTHAM RAMESH,3.66
Programming II (300),3.32,MARK MANSI,3.82
