Professor,Professor GPA
MARY LINDSTROM,3.78
ADIN-CRISTIAN ANDREI,3.87
ISMOR FISCHER,3.75
RONALD GANGNON,3.43
MICHAEL HARDING,3.76
VICTOR LUO,2.92
SHANG WU,3.38
XINYU SONG,3.56
SIJING LI,3.71
DEREK BEAN,3.57
HENRY MENDOZA RIVERA,3.92
FANGFANG WANG,3.56
SHAN LU,3.26
YING ZHANG,3.96
MICHAEL NEWTON,3.89
DOUGLAS M. BATES,3.37
ZIJIAN NI,4.0
SUNDUZ KELES,3.89
TINGHUI XU,4.0
KYUNGMANN KIM,3.74
CUICUI QI,3.31
PANDUAN AN,3.23
NIMAL WICKREMASINGHE,3.67
ANRU ZHANG,3.46
KRISHNAKUMAR BALASUBRAMANIAN,2.79
GARY HOWARD SCHROEDER,3.19
ZHENGJUN ZHANG,3.48
MOO K CHUNG,3.94
PIXU SHI,3.09
HYUNSEUNG KANG,3.77
ZHANG CHUNMING,3.58
BRET HANLON,2.87
RUOLIN SONG,4.0
KEVIN BUHR,3.94
MITCHELL PAUKNER,4.0
RICHARD J. CHAPPELL,3.87
CHAOQUN MEI,3.75
JAMES ANDERSON,3.8
DAVID DEMETS,3.85
ERIK NORDHEIM,4.0
BRIAN YANDELL,3.83
GUILHERME VIEIRA NUNES LUDWIG,3.74
MURRAY CLAYTON,4.0
KJELL DOKSUM,3.64
YIQIAO ZHONG,3.8
XINYU LI,4.0
JEROME JAEHOON CHOI,3.78
GUANHUA CHEN,4.0
LIANLIAN DU,4.0
SRIKANTHMADHAVAN ARAVAMUTHAN,3.65
SIJIAN WANG,4.0
SHUAI CHEN,3.47
MARI PALTA,3.47
CUIZE HAN,3.47
JASON P. FINE,3.82
THOMAS COOK,3.58
JIREN SUN,3.58
THEVAASIINEN CHANDERENG,3.81
DUZHE WANG,3.79
SHENGJI JIA,3.42
LU MAO,3.94
TUO WANG,3.96
YI LI,3.97
YANYAO YI,4.0
YU MENGGANG,3.95
YOURAN QI,4.0
GHEORGHE CRACIUN,3.98
SAVERIO SPAGNOLIE,3.71
SAMUEL STECHMANN,3.65
SHI JIN,3.77
AMIR ASSADI,4.0
FABIAN WALEFFE,3.9
JEAN-LUC THIFFEAULT,3.95
DAVID ANDERSON,4.0
PAUL MILEWSKI,4.0
LESLIE SMITH,3.86
OH HOON KWON,2.72
GEOFFREY BENTSEN,3.62
JANE DAVIS,4.0
SETH DAVIS,3.92
BRYAN OAKLEY,3.0
ERIKA PIRNES,3.29
ETHAN BEIHL,3.22
EVA ELDUQUE,3.1
QUINTON WESTRICH,3.46
IVAN ONGAY VALVERDE,3.4
CHIARA FRANCESCHINI,3.12
JUDITH ANDRUS,2.87
MICHAEL JULIAN,2.77
REBECCA VINSONHALER,3.3
KAI HO WONG,3.0
VLADIMIR SOTIROV,3.24
MENG-CHE HO,2.96
TSECHING LIEN,3.1
ALISON LYNCH,3.04
SARA JENSEN,2.94
JEFFREY POSKIN,3.14
SETH MEYER,2.98
CHRISTELLE VINCENT,2.88
DANIELA BANU,3.58
JAMES KNAPP,3.16
DIANE RIVARD,2.59
RACHEL DAVIS,3.21
DANIEL DEMIS TURETSKY,2.44
MATHEW FELTON,3.83
DANIEL MCGINN,3.81
SHIRIN MALEKPOUR,3.18
STEFFEN LEMPP,3.41
TERRENCE MILLAR,3.8
ELIZABETH MARIE MIHALEK,2.92
AOBING LI,3.07
MATTHEW DAVIS,2.74
DARREN ROSS FUNK-NEUBAUER,2.81
PATRICK XAVIER RAULT,2.95
PAUL M TERWILLIGER,3.22
PETER P ORLIK,3.07
DEREK MOFFITT,2.88
JAKE MALLOY,2.95
MITCHELL MOREY,1.86
OUMAR KABA,2.73
ERIK ANDREJKO,2.54
JACK JR. CARSON,2.59
ROBERT WILSON,4.0
MARSHALL SLEMROD,3.87
GABRIELE MEYER,3.24
KENG NG,3.28
BART KASTERMANS,2.93
MAYA BANKS,3.67
MICHAEL JESURUM,3.8
HYEJIN YEON,3.67
CHANGHUN JO,3.38
MOISES HERRADON,3.5
RACHEL ZACHARIAH,3.37
WOOJIN KIM,3.12
SALVATORE PARENTI,3.14
KEITH DSOUZA,3.0
PAUL TVEITE,2.96
CLAIRE BLACKMAN,3.75
HAO LIN,2.76
ALI GODJALI,2.8
ANAKEWIT BOONKASAME,3.23
PATRICK CURRAN,2.94
KONSTANTINOS ALEXANDER BEROS,2.77
PATTARAPONG PAKPOOM,3.11
ACHILLES BEROS,3.0
ROHINI KUMAR,3.19
NOAH MCCLAVE KIESERMAN,2.96
JOEL W. ROBBIN,3.43
BENJAMIN JAMES ELLISON,3.12
BLYTHE ELLEN HAZELLIEF,2.5
ANDREJ ZLATOS,3.31
DAVID S GRIFFEATH,3.62
MAURICE FABIEN,3.84
QIN LI,3.94
JAMES A ROSSMANITH,3.87
URI ANDREWS,3.8
MARIYA SOSKOVA,3.69
JOSEPH MILLER,3.83
MINGZHONG CAI,4.0
KENNETH KUNEN,3.95
ALEX VISCHER,3.4
EUGENIA MALITSKY,2.89
YAHUI QU,3.38
YIFAN WEI,3.52
JIAHONG YUAN,3.48
KAREN DUFFY,3.21
JOHN YIN,2.59
IAN SEONG,3.15
RAHUL MAHAJAN,2.56
BILLY JACKSON,2.69
ROBERT WIEDENHOEFT,2.33
CHRISTOPHER BREEDEN,2.57
FRANCIS ROONEY,2.7
HUIFENG ZHENG,3.03
THOMAS GRIEBEL,2.41
KONSTANTINOS MAVRAKAKIS,3.09
DAVID H CAMACHO,2.5
CHALERMPONG WORAWANNOTAI,2.72
AMANDA CHARLOTTE GAULT,2.73
JATIN MITRA,1.93
MEGHAN MAUREEN DE WITT,2.53
XIANGHONG GONG,2.53
FANG YUAN,3.03
LI WANG,2.36
FEI CHEN,1.33
HONGNIAN HUANG,2.03
RAHBAR VIRK,2.58
LOUIS ANDRE DEAETT,2.31
MYOUNGJEAN BAE,2.74
SEYFI TURKELLI,2.44
JEAN-PIERRE ROSAY,2.21
DAVID KEVIN MILOVICH,2.31
YUDONG TANG,2.53
HYE WON KANG,2.27
ANTON VAN ESSEN,2.74
MEHMET HALUK SENGUN,2.84
GARRETT ALSTON,1.85
JACOB LANGTON,1.76
YE FANG,2.55
VENKATA SUMAN SANIKOMMU,3.32
HONGYU ZHU,4.0
MANLIO VALENTI,4.0
JUN LE GOH,4.0
ARNOLD MILLER,3.91
DMYTRO ARINKIN,3.24
PAUL APISA,3.38
ROBERT GRIZZARD,3.38
YOUSHENG SHI,3.39
ANANTH SHANKAR,3.54
MICHAEL KEMENY,3.48
MICHAEL BROWN,2.56
TULLIA DYMARZ,3.78
ALEKSANDR PAVLOV,1.97
